id,slug,name,description
419,garden-rule,Garden Rule,"🪴 Success is like a garden … No matter how green your garden gets or how beautiful your flowers are, you have to keep tending to it. You have to keep mowing, watering, trimming, and edging. If you don't, the grass will turn brown and the flowers will die. https://austinkleon.com/2021/08/18/one-must-cultivate-ones-own-garden/"
420,two-magic-words,Two Magic Words,"✨ ... Thank You And Please -- The most magical words in any language are ""thank you"" and ""please."" They connect, appreciate, and show respect. When you visit a new country or meet someone who speaks a different language, learn those words. Also, make it a point to always say ""thank you"" and ""please"" as often as possible. These small words have a large effect!"
421,common-ground,Common Ground,"🤝 Focus on Common Ground -- Sometimes it’s better to focus on the things you agree on instead of arguing who is right or who is wrong. Build connections, not walls - especially with loved ones and other people you care about."
422,five-more,Five More,"🙌 Do Just Five More... The next time you feel like quitting, do 5 more. 5 more minutes of reading, 5 more pages of writing, or 5 more steps of walking. Then, repeat. Sometimes you can break through and keep going. And if you can't, you've still ended five ahead. Tell yourself you’ll quit tomorrow, but not today!"
423,jour-fixe,Jour Fixe,"✔️ How To Meet Your Friends Regularly -- If you want to see your friends regularly, schedule a recurring meeting. Constantly having to schedule outings, dinners, etc. makes it hard to regularly see people. Create standing events. Have a regular routine. Fix the day. It’s the easiest way to get more friend time in your week."
424,five-senses,Five Senses,"🌹See, Smell, Hear, Taste and Touch -- When you’re feeling in a funk, mix things up. If you’ve been in front of a screen the entire day, go outside into nature. Close your eyes and smell the air, touch a tree, or simply listen. Use your senses to connect to yourself. Which sense do you use the least, and why?"
425,laugh-to-learn,Laugh To Learn,"Path to learning -- If you want to learn from your mistakes first laugh at your mistake. Also your best teacher is your last mistake. If you are not willing to learn, no one can help you. If you are determined to learn no one can stop you."
426,carry-gifts,Carry Gifts,"💝 Carry Little Gifts Wherever You Go. Gifts can be small postcards to write a friendly note, a special stone, a book you love or some other little token of appreciation. The best gifts are the ones you don’t expect. Carry gifts whenever you go and create beautiful surprises for others! When was the last time you got a surprise gift? What was it? And how did you feel?"
427,ask-remember-use,"Ask, Remember, Use","💕 Ask, what's your name? When you meet someone for the first time, ask for their name. Remember it and use it. This shows appreciation and helps build a connection. It’s always nice when someone you just met remembers your name and calls you by it."
428,thank-specifically,Thank Specifically,"🙏 ... and then elaborate. Thank specifically and elaborate. Be specific about what you are thanking someone for. It makes your 'Thank You' more intentional. When your neighbor offers you a ride, thanking specifically might sound like this: Thank you for picking me up. I don't like taking the train. It’s much more fun riding together!"
429,life-long-learner,Life Long Learner,"🎼 It’s Never Too Late To Learn New Things. Learning new things can make your life more wonderful. Learn how to cook! Or how to play an instrument. Or pick up that language you learned in school but have gotten rusty in. Get a book, take a class or ask a friend and have fun learning!"
430,learn-to-juggle,Learn To Juggle,🤹
431,yes-therapy,Yes Therapy,"🙌 Say yes more often. We’re never too old to try something new. The more new things you try, the younger you’ll feel. The next time you’re asked to play a video game with your grandchild, say yes!"
432,head-heart-check,Head Heart Check,"💞 When making a decision, think about it logically but also feel it out. Only inviting the closest family to a special occasion may make logical sense. But does it feel right? The best decisions are those where both the head and the heart say yes!"
433,ask-ends-doubt,Ask Ends Doubt,🙋
434,remove-barriers,Remove Barriers,"🏗️ For closer connections If you want to be close to someone, be close to them. Instead of sitting opposite each other, sit next to each other. This way, there is nothing between you. It's natural, comfortable, and fosters closeness and intimacy."
435,take-naps,Take Naps,😴 Take a nap during the day. It revitalizes you and gives you energy. Nap for around 20 minutes to boost mental alertness and ensure that it is easy to wake up.
436,whats-not-said,What’s Not Said,"🙊 Say the unsaid. Often, it's not the things we say, but the things we don't say, that get us in trouble. If you’re running late and a friend starts a long chat, it’s better to mention you’re in a hurry. Suggest rescheduling instead of trying to be polite and listening without being truly present."
437,own-advice,Own Advice,"☝️ Take your own advice // We love giving advice to others. But do we follow that advice ourselves? What advice do you often give but aren’t following yourself? If you say generosity is important, ask yourself: ""Am I always generous?"" Lead by actions, not by words."
438,five-star-service,Five Star Service,"⭐️ What it (can) look like ... The next time you’re hosting a dinner or party, create a five-star experience for your guests. What is the best experience you can imagine?  Fresh fruits? Homemade cookies (still slightly warm)? Special decoration? Help them in and out of their coat. Make their favorite dishes. Buy their favorite drinks. Use your best china …  Let your creativity run wild. Go all out. You’ll have a blast, and so will they!"
439,excuse-list,Excuse List,📋 Turn Excuses Into To Dos... What's something you've been wanting to do for a long time but still haven't? Write down the top excuses for why you haven't done it yet. Maybe you've always wanted to travel to a foreign country... Turn your excuse list into your to-do list.
440,pack-lightly,Pack Lightly,"Pack Lightly 🪶 When packing a bag or suitcase, pack lightly. Keep space in your bag. This way it’s easier to open and close it. And to find things. And you'll have extra space, just in case. If it’s too packed, take things out. Or use a bigger bag!"
441,break-the-pattern,Break The Pattern,🍳 We all have patterns we’ve adopted from our families. Things our parents used to do or say. Some of these patterns are positive. Some aren’t. Say your mother used to shout when things didn't go her way. Is this something you’ve adopted? Which patterns do you want to break?
442,check-in-request,Check In Request,"☀️ Ask others to check in on you. Sometimes, we forget to simply ask how someone is doing because we're busy. Just asking, ""Are you okay?"" or ""How are you feeling?"" can work wonders. This is true even if the answer is ""good,"" and even more so if the answer is ""no."" https://www.instagram.com/reel/CwyCdd-p3e8/"
443,karma-coffee,Karma Coffee,"💖 When you're at a cafe, pay for an extra coffee and tell the barista to give it to someone who needs it. This Italian concept helps include people who might not have the money to spare for a coffee. Introduce this idea at your local cafe!"
444,limits-liberate,Limits Liberate,"🍓 When in doubt, less is more. Having many good options can make it difficult to choose. Consider the famous jam experiment: a table offered 15 types of strawberry jam. While many people stopped to look, almost no one bought jam. However, when the same table displayed only 3 jams, nearly everyone bought one. Reducing your options can make it easier to decide."
445,gravity-problems,Gravity Problems,"🪐 Ask yourself, is this a gravity problem? You can’t change gravity. Only solve problems you can solve. And accept or even befriend the problems you can’t! Don’t go against the laws of nature (or the market place)."
446,book-question,Book Question,"📚 When you meet someone interesting, ask, ‘What’s a book that changed your life?’ Then, go read that book. And ask yourself which book has really impacted you (or your views)?"
447,think-about-dishes,Think About Dishes,"🧽 When you're doing the dishes, focus on doing the dishes. If your mind wanders while doing them, it'll likely wander when you're doing that next task too. Be present. Be in the moment."
448,play-kids-games,Play Kids Games,🛝 … with and without kids. Play games you loved as a child. Play ‘hide and seek’ or ‘I spy.’ Use watercolors and crayons … Or build a castle the next time you’re at the beach. Children’s games are fully immersive. And sometimes that’s what we need. Which games did you play as a child? Play that game today!
449,just-for-fun,Just For Fun,"🤩 Make a list of things you love to do purely for the joy of doing them. Do you love to golf or garden? To cook or crochet? Write down as many things as you can think of. Keep expanding the list whenever you find or remember something new. Whenever you have time, take out the list and do something from it."
450,next-best-thing,(Next) Best Thing,"🏆 A way to decide… Next time you decide something, ask yourself: is this the best or merely the next best option? Decisions can range from what to wear or what to cook, to where to live. Always ask yourself: is this the very best or only the next best option? Sometimes the next best is good enough. But most times, it’s not."
451,values-not-opinions,Values Not Opinions,"🐊 Don’t define yourself by your opinions. They can’t change your mind. Define yourself by your values. Sticking to your values ensures that you are true to yourself. And to what you stand for. Instead of saying I don’t like crocodiles, say ‘it’s important for me to feel safe and I am scared of being bitten by a crocodile.’"
452,mess-up-journal,Mess Up Journal,"✍️ Keep a failure journal. Every time you mess up, write it down and leave two lines free. One month later, write what you learned. Six months later, write what good came out of it. This way, each “mess up” brings gratitude and learning. Say you lose your license for speeding. After a month (or sooner), you may learn that it doesn’t pay to speed. After a few months, you may have improved your health because you’ve taken the bicycle instead of the car."
453,make-messages-matter,Make Messages Matter,"📮 Sending messages today is easy, fast, and free. We can send text, voice, video, and pictures almost instantly across the globe. However, there was a time when phone calls were charged by the minute, and text messages were billed by the number of characters. Sending pictures or videos was not possible. When writing to a loved one, make each word matter. Write as if each word was valuable, because it can be."
454,three-options,Three Options,"🎯 There are always three options … // When something “bad” happens in your life, you have three options: You can let it Define you, Destroy you, or you can use it to get Stronger. Say you’re practicing for an important violin concert and you totally bomb. You can either tell yourself you’re a “failure” and stop playing, or you can work extra hard to make sure this never happens again."
455,feelings-and-needs,Feelings And Needs,"🎭 Listen to feelings to discover underlying needs // Often, it's not what is said or done, but what we make of it that impacts how we experience something. When people do things we don't like, it's just a tragic expression of unmet needs. If your partner says, ""You never have time,"" instead of arguing that you do, or that you're busy working to provide, ask, ""Are you feeling sad because you would like to spend more time together?"
456,stop-reading,Stop Reading,"🛑 The rule of thumb for reading ... // Life is too short to read books you don't enjoy. And there are too many books you might love. The rule of thumb is 100 pages minus your age. So, if you're 70 years old and don't love a book 30 pages in, stop reading!"
457,junk-rules,Junk Rules,"🗑️ Have clear ""junk rules"" // Make clear rules about when to throw out old junk. Once clear rules are in place, junk will no longer be a problem. The mindset of ""I'll keep this broken stereo for five years in case I learn how to fix it"" will become a thing of the past."
458,make-that-call,Make That Call,"☎️ What is that one call? // What do you think of when you hear the words ""make that call""? What's that one call you should be making but haven't? The one you've been avoiding and pushing ahead of you? Don't overthink. Decide and dial. Just make that call. You'll feel better... Keeping things in the back of our heads drains our energy. Get it out by getting it done."
459,beat-your-books,Beat Your Books,"📚 ... to get the most out of them // Read physical books. And read them intensely. Make sure they have milage. Read with a pen in your hand. Write in it. Highlight words. Fold pages. Have it tell and share your story. Touch it, feel it, smell it. Make the book truly yours. This is how you get the most out of any book."
460,curious-not-critical,"Curious, Not Critical","🐚 Ask before you assume // Next time you’re irritated or angry with someone, take a step back. Don’t attack them. Don’t ask, “What’s wrong with you?!” Instead, be kind. Be curious. Ask, “What’s behind this?” Often, we don’t understand because we’re missing context. Be curious, not critical."
461,surf-around,Surf Around,🏄
462,tell-the-truth,Tell The Truth,"✋ A Great, Simple Rule ... Every question has a right answer: the truth. Never lie. It makes life easier in the long run. This doesn’t mean you should tell everyone everything all the time. But when they ask, tell the truth."
463,err-on-age,Err On Age,"🏛️ Go for the classics... // Read, watch, or listen to the classics. Classics are classics for a reason: they have stood the test of time. Chances are, you will enjoy them! They don't have to be ancient, either. If you're not into Shakespeare, read Harry Potter or watch The Godfather. This principle also applies to furniture, fashion, and almost anything else."
464,point-ping-pong,Point Ping Pong,"🏓 Stop unproductive point ping pong. Unproductive arguments are like ping pong. Hitting facts back and forth, hoping to win. For productive arguments, move away from making points and winning. Rather, focus on understanding the other person."
465,eat-and-walk,Eat And Walk,"🍱 After eating, take a walk ... // Walking for just two minutes after a meal can significantly improve your blood sugar levels and your metabolism. So, after your next meal, take a short walk!"
466,count-to-ten,Count To Ten,"💯 How to cool your head ... // When you’re angry, count to ten. When you’re very angry, count to 100 before responding. Count longer the angrier you are or the lower your level of self control is. Imagine the consequences of saying what is in your head. Then ask yourself if you still want to say it like that."
467,home-head,Home Head,"💌 Who to let in … Never invite anyone into your head who you wouldn’t invite into your home. The next time you get wound up by what a random person says, ask yourself, 'Would I invite them into my home?' If the answer is no, let it go!"
468,body-language,Body Language,🩺 Listen to your body! // What is your body telling you that your words might not be able to? Make it a habit to check in. See how you and your body is feeling.
469,piñata-power,Piñata Power,"🪅 Whatever you do, keep at it. When you hit a piñata each individual hit compounds until the candy comes out. You’re making invisible progress even if it does not seem like it. Keep swinging - the harder it is to bust it open the bigger the rush once it does crack open."
469,explain-the-problem,Explain The Problem,🧑
470,stop-doing-list,Stop Doing List,"🛑 What would you stop doing...? What things would you stop doing if you knew you had only one more year to live? Or if you had all the freedom in the world? Would you stop working late nights? Would you stop being on your phone as much? Would you stop spending time with certain people? Write a list of things you would like to stop doing. Then ask yourself, what would have to happen so I could stop now?"
564,better-not-perfect,Better Not Perfect,🪄 Just start and then iterate. We rarely do things perfectly the first time. Everything takes work and iteration. Embrace the opportunity to aim for better rather than perfect. Get it wrong the first time. Then make it better.
563,end-surprises,End Surprises,😶
562,reframe-the-problem,Reframe The Problem,"🖼️ If you’re stuck on a problem... // If you’re stuck on a problem, reframe it. We’re wired to fall in love with our first idea. But our first idea may not be the best. Don’t get stuck on your first solution. Reframe the problem to come up with a better solution."
561,fun-part,Fun Part,"🛁 Focus on the fun part // When you're doing something hard, focus on the fun part. Many people emphasize how difficult something is. They tell themselves writing is hard or running is hard or math is hard. If you want to enjoy things more, find the fun part. Focus on that."
560,real-or-deal,Real Or Deal,"💐 Is it real or a deal? // Make a list of all your friends. Next to each name, write 'real' or 'deal.' Real friendships are relationships where you want nothing from the other but their friendship in itself."
559,history-me,History Me,"🏛️ Record time pieces // It has never been easier to capture text, sound, or video. Write things down, take photos, or record videos. Document important occasions in your life, as well as everyday events. It will be interesting for future generations to see. Wouldn't you have liked to see your parents or grandparents when they were young?"
558,daily-one,Daily One,Do one thing every day. Collect one stone. Write one word. Take one photo. Sing one song. Pick one flower. Choose one small thing that only takes a few minutes or seconds and do that every day. This will make you more creative. And it will make you happy every day.
557,find-the-issue,Find The Issue,🕵️
556,listen-loudly,Listen Loudly,"📣 Be a Loud Listener: Show the speaker you are listening with sounds, facial expressions, and body language. It shows appreciation and helps you listen at the same time."
555,walk-it-off,Walk It Off,"When angry, sad or frustrated, walk it off. Going for a walk will not solve all your problems. But no problem has ever gotten worse by going for a walk."
554,create-door-knobs,Create Door Knobs,🚪Doorknobs are questions or statements that encourage the other person to walk through them with a story. Create doorknobs in conversations. https://www.experimental-history.com/p/good-conversations-have-lots-of-doorknobs
553,prepare-top-relax,Prepare Top Relax,🧘
552,better-normal,Better Normal,"🍌Forget about being the best or exceptional. Simply focus on being reliable in the normal moments. Show up when it's easy to skip. Do the basics and do them well. Before you make it complicated, remember there are always simple improvements waiting to be made. Instead of baking the best banana bread ever, just start baking."
551,do-hard-things,Do Hard Things,"💪 Deliberately do hard things. Practice doing things that challenge you. This way, you keep growing. If you go to the gym and use the same weights every time, your muscles won’t grow. But if you always add a bit extra, they will. You also build confidence that you can always do a bit more. Keep challenging yourself to keep growing by doing hard things. Because the hard things eventually become easy."
550,barbers-back-mirror,Barber’s Back Mirror,"💈 Sometimes You Need A Back Mirror ... Some things in life you cannot see by yourself. After finishing a haircut, the barber holds up a mirror to show the back of your head. It’s the only way for you to see it. Sometimes, we need other people's help to show us what we can't see. Who in your life helps you see the things that you can’t see? Reach out to them; thank them!"
549,learn-the-lesson,Learn The Lesson,"🧂 You have to live with your mistakes, but you don't have to compound them. If you follow up an error with a foolish reaction, you lose twice. Imagine you’re cooking and you oversalt the pasta. Don’t throw out the entire dish. Ask yourself: Given the reality of where you are right now, what is the best next action? A wise response may not erase a dumb mistake, but it can redeem it."
548,c32t-rule,C32T Rule,"😬 Chew Thirty-Two Times... The more you chew, the better you digest. Chewing more can help with weight loss. It helps you break down the food in your mouth, and you feel full faster. Studies suggest chewing 32 times before you swallow your food. That may sound like a lot, but count how often you chew and start by doubling that."
547,blessings-not-contributions,Blessings Not Contributions,🧚
546,be-an-amateur,Be An Amateur,"🧶 'Amateur' comes from the Latin word 'amare', which means to love. Find things you do for the love of it. Not for some benefit, but for itself. Things you do whether it succeeds or not, whether you are praised for it or not, whether you are loved and rewarded for it or not. Pick up knitting, or painting or something you’ve always wanted to do. Just be an amateur."
545,happy-ten,Happy Ten,"🖐️ Count to ten using both hands... List 10 things that make you happy, one thing on each finger. This will get you out of your head and back to the present moment. It also reminds you of the things and experiences that make you happy."
544,diving-board-rule,Diving Board Rule,"🤿 Go step by step and when you’re at the edge, jump. Remember the first time you jumped from a diving board? You were probably afraid. But all you had to do was put one foot in front of the other and then jump. Next time you want to do something, but you're afraid, think of the diving board. Take it step by step and at the end, jump. But please remember, always be safe!"
543,bigger-risk-question,Bigger Risk Question,"🤔 Ask yourself, what’s the bigger risk: going on a new adventure or continuing the adventure you’re already on? Sometimes we are afraid of change, but we don’t realize that not changing may actually be a greater risk. Not letting go of that relationship that’s not serving you may be a greater risk than just moving on."
542,never-always-everyone,Never Always Everyone,"⚠️ How often are absolute statements actually true? “You never do the dishes,” “Everyone knows ___,” “I take care of everything in our house...” — very rarely. Instead of being general, be specific. You could say, ""The last three times we had dinner, I did the dishes by myself. Would you be willing to help me with the dishes today?"
541,second-mistake,Second Mistake,🤦
540,sour-grapes,Sour Grapes,"🍇A fox wants to eat a bunch of grapes hanging high on a vine. Despite his best efforts, he cannot reach them. Finally he gives up, saying the grapes must be sour anyway. The parable highlights the tendency to rationalize and belittle things we cannot get. Beware of sour grapes …"
539,piojito-power,Piojito Power,"🐜 Spanish for ""little lice"" Piojito is the gentle scratching of a child's scalp. As if relieving it of the itching of imaginary lice — hence the name. The stroking turns on special nerves in the skin called C-tactile fibers. These nerves detect a specific speed of caressing. Activating these fibers feels good. It reduces the perception of pain and lowers the heart rate. Receiving Piojito relaxes and makes you feel at peace with the world. It also helps you bond or connect to the person who's caressing you."
538,hand-hugs,Hand Hugs,🥰 How to give a hand hug… Hand hug by putting your palm together with another person's palm. Then each person's thumb hugs the other person's hand. It’s a cute alternative to interact which is not as intimate and close as a hug.
537,green-car-theory,Green Car Theory,"🚘 Keep your eyes on the prize... Look for opportunities and they will come. Ask yourself, how many green cars did you see today? You probably don’t know. Now Imagine someone gave you $50 for every green car you see. You would not only notice green cars, you’d actively look for them. Start focusing the things you want and you will see opportunities everywhere."
536,rogue-bees,Rogue Bees,"🐝 Bees use the waggle dance to show the hive where food is, but some bees go rogue. They ignore the waggle and fly off on their own. It's the rogue bees that ensure the survival of the hive; they find new food sources. Without them, the hive would, at some point, deplete their local food sources and die. The lesson: Ignore the waggle around you for a bit. Go out and explore!"
535,choose-your-bucket,Choose Your Bucket,"🪣 If you throw a bucket of water on a small campfire, you’ll put it out. But, try using that bucket to refill a dried-out lake; not much will happen. Everything is relative.  If you invest 8 h in a 10 h project, you’ll fail. Put those 10 h into a 6 h project, and you'll likely exceed all expectations. Pick the right size bucket for the problem you’re trying to solve. Choose your bucket, choose your future."
534,ostrich-effect,Ostrich Effect,"🙈 Don’t be an ostrich... While it's a myth that ostriches bury their head in the sand to avoid danger, the idea serves as a metaphor. Just because you're looking away, doesn't mean the danger isn't there. If things are hard or dangerous, open your eyes. Recognise reality, especially when you don’t like it. It’s important. You cannot solve (or avoid) things you ignore."
533,you-are-beautiful,You Are Beautiful,"🪞 Remember, you are beautiful. Remember that you are beautiful. We tend to be our greatest critic. Ask yourself: what is the most beautiful thing you know to be true about yourself? Before you answer, watch this three minute video. It will blow your mind Watch Now (https://www.youtube.com/watch?v=XpaOjMXyJGk)"
532,band-aid-principle,Band-Aid Principle,"🩹 Pull it off fast! The faster you pull off a band-aid, the less it will hurt. Some things in life will hurt. And sometimes there is no way around them. If you know it will hurt, it's better to get it over with fast."
531,3am-friend,3AM Friend,"💯 Who is your 3 AM friend...? That friend you can call in the middle of the night. That friend who not only answers the phone but you can hear them getting dressed in the background because they are getting ready to be there for you, whatever you need. Some friends you can call sometimes. Who can you call at any time!?"
530,simplify,Simplify,"⛓️ Whenever possible, simplify. What can be done in three steps should not be done in four. Each link in the chain is a chance to mess things up. Fewer links mean fewer chances for a mess-up."
529,happiness-pillars,Happiness Pillars,"🏛️ Build happiness on Family, Friends, Work, Faith. You need close ties to family and friends. And you need something to believe in. (This can also be principles). And you also need something to spend your time doing. It doesn't  have to be a job that pays. It can be something like tending to your garden."
528,hooponopono,Ho'oponopono,"🌺 Hawaiian mantra to cleanse the mind, emotions, and memories of past experiences causing negative reactions to people or circumstances. Simply repeat or chanting these four phrases: 'I’m sorry' (Acceptance), 'Please forgive me' (Forgiveness), 'Thank you' (Gratitude), and 'I love you' (Love). It has been used for generations to heal and transform relationships, both with oneself and with others. https://www.youtube.com/watch?v=fZ4zvBp78X0&list=OLAK5uy_nM_sP4xzhYw4sp1aAjyObm2Wwufjjv7D8&index=5"
527,different-not-harder,Different Not Harder,"💥 You're more likely to make a big leap by trying different than by trying harder. You can work 10% harder, but a different approach might work 10x better. Persistence is not only about effort, but also strategy. Don't just try harder, try different!"""
526,feed-your-mind,Feed Your Mind,"🍇 You are what you eat (and what you think about). Just as you become what you eat you also become what you think about. If you eat unhealthy food you will lose your health. If you think about sad things, you will feel sad. Feed your mind with positive,   thoughts. Focus on the good, like a beautiful flower on the side walk for example"
525,capability-gap,Capability Gap,🕵️
524,end-of-movie,End of Movie,"🍿 Imagine watching the last 10 minutes of a movie, knowing how everything turns out. Now, if you rewatch the movie, you’re relaxed. There’s no tension. No matter what happens, you already know the situation resolves itself. Use this in your life. Imagine how a situation turns out. Paint a vivid picture in your head. The more you do it, the more self-confidence you’ll experience. And more things in your life will turn out as you expect. Or better!"
523,invert-it,Invert It,"🙃 Complex problems are sometimes better solved backwards. Turn your next problem or situation upside down. Ask yourself: What do I not want to happen? What could go wrong? Then, work on avoiding that."
522,practice-patience,Practice Patience,🧘
521,why-worry,Why Worry,"🤲 Ask yourself: Do you have a problem in life? If the answer is no, why worry? And if the answer is yes, ask yourself, can you solve it? If you can't, then why worry? And if you can solve it, why worry!? We suffer more in our minds than in reality. Watch this video explaining the concept on one simple slide."
522,inverse-paranoid,Inverse Paranoid,"👻 Paranoids are convinced there’s a conspiracy against them. Be the opposite. Imagine the world is conspiring to help you. And serve you. The next time something you don't like  happens, stop. Tell yourself, there must be something good that's going to come out of this."
520,right-or-different,Right Or Different,"📝 After every experience, (successful or not successful) stop, and replay the situation. Ask yourself (on paper):  what did I do right? And what would I do different? Reflecting on right makes you better at those things. Reflecting on different lets you see all kinds of possibilities. Answering both is positive and constructive. Try it for one day or one experience."
520,unafraid-and-spontaneous,Unafraid and Spontaneous,"☀️ Be less afraid and more spontaneous ... Children are unafraid and spontaneous. Adults teach fear. Don’t climb that tree. Don’t jump from there. Unlearn fear, in a safe way. (Most things are safer than you think). Be unafraid. Be spontaneous. Be more like a child. Like children, you'll have fun and learn a ton!"
519,barber-bias,Barber Bias,"💈 Don’t ask the barber if you need a haircut. When seeking someone’s advice or opinion, ensure they have your best interests at heart. Of course, there are great barbers who will honestly tell you if you don’t need a haircut."
518,magic-three,Magic Three,"🪄 Use the Rule of Three to communicate clearly.   When explaining something, make no more than three points. Explain difficult ideas in three ways and make important points three times.   When in doubt, go with three: Three points, three ways, three times."
520,ordinary-love,Ordinary Love,"💕 Fall in love with the ordinary. An amazing life is built through tiny, ordinary, everyday things. Get comfortable with the ordinary, and you’ll build the life of your dreams. The quality of your life is determined by the quality of your average Tuesday afternoon."
519,gut-life,Gut Life,"🧠 Listen to your gut... Your gut is the largest advisor for your brain. It collects information about our nutrients but also our cells. Listen to and trust your gut. It knows more than you think! Watch ""The Surprisingly Charming Science of Your Gut"" https://www.youtube.com/watch?v=HNMQ_w7hXTA&t=515s"
521,replacement-theory,Replacement Theory,"🔄 Question your beliefs and try to come up with the opposite. This will help you see things from a different perspective. For instance, if you believe your friend is selfish, try to recall an instance where they acted selflessly."
520,live-to-get,Live To Get,"🧲 To get what you want, you must first deserve it. Want to find a good partner? Start by deserving a good partner. Make a list of all the qualities you're looking for. Then, work on living them. It's hard to attract qualities that you don’t have. Similarly, as a parent, it's hard to teach a child values that you don't live by."
522,winner-loser-game,Winner/ Loser Game,"🎾 Which game are you playing? Amateur tennis is a Loser’s Game. Most points are lost due to unforced errors. You win by avoiding mistakes and waiting for your opponent to make mistakes. Professional tennis is a Winner’s Game. Most points are won through making great shots. In any situation, ask yourself: are you better off avoiding mistakes, or is it crucial to bring your A-game?"
521,two-arrows,Two Arrows,"🏹 We all encounter negative events in our lives, the first arrow. They hit and hurt, and we can't avoid them. But being struck by a second arrow (our reaction to the first) is our choice. Pain is inevitable. Suffering is optional."
523,dont-add-subtract,"Don't Add, Subtract","➖ When something isn’t working, try subtracting instead of adding. Usually, the solution is found by removing something that is holding us back, not by adding something new."
522,wisdom-compounds,Wisdom Compounds,"🗿 Every day, try to be a little wiser than you were when you woke up. Small things become big things. Live as if you were to die tomorrow. Learn as if you were to live forever."
523,optimists-obstacles,Optimists' Obstacles,💖 Optimism isn’t about ignoring obstacles; it's about viewing every obstacle as an opportunity rather than a permanent roadblock. You get rewarded for the number of obstacles that you successfully navigate around. You get rewarded even more if the solution is creative and sustainable.
524,whats-rights,What’s rights?,"✅ Look for what’s right. What’s wrong is always available but so is what’s right. The more you focus on the good, the more you will see it!"
525,doing-nothing-person,Doing Nothing Person,"🥰 Find someone who you love doing nothing with. Life isn't the glamorous, photo-worthy moments. Life is mostly just sitting around doing nothing. When you find the person you love doing nothing with, you've found your life person."
526,unproductive-walks,Unproductive Walks,🚶 Unproductive walks are the most productive activity. No one has ever changed their life by listening to a podcast on 2x speed. You’ll generate more life-changing ideas on silent walks without your phone than at a desk with all the productivity tools in the world.
527,best-me-me,Best Me Me,🦹 Always be yourself … Being yourself is the best thing you can be. Only you can be the best version of yourself. Discover what makes you uniquely you and double down on that. What's the unique gift you bring to the world? No one will ever be better at being you than you.
528,real-or-imagined,Real or imagined,"👹 Always ask yourself … For each headache, ask yourself: 'Is this mostly real or mostly imagined?' Solve the real problems, release the imagined ones. Worrying about what most people think of you is mostly imagined. Worrying about your upcoming test or exam is real. Go study!"
529,hope-vs-expectations,Hope vs Expectations,"🤞They’re not the same. Hope can fuel us, and it can be refilled. It opens the door to possibility. Expectations, however, are a trap. They can lead to disappointment. Raise your hopes and lower your expectations to establish a resilient way forward."
530,intense-interest,Intense Interest,"🧐 If you want to be great, you’ve got to be interested. You can force yourself to be fairly good at a lot of things. However, it’s impossible to be great at anything if you don’t have an intense interest. Most people focus too much on being interesting and not enough on being interested. Being interested is how you become interesting."
531,12-birthdays,12 Birthdays,"🎂 Call loved ones or friends every month on the day of their birthday. If your friend’s birthday is on January 7th, call them every month on the 7th. It’s like a mini-birthday, and it’s a nice reminder to catch up regularly!"
532,speak-up,Speak Up,"📣 The Abilene Paradox occurs when everyone in a group does something no one wants to do. Each person thinks they are the only one who objects and doesn’t want to rock the boat by speaking up. When in doubt, speak out. Chances are, others may feel the same."
533,dont-drink-calories,Don't Drink Calories,"🧃If you want to lose weight, don’t drinking your calories. It's easier to consume  calories by drinking than by eating. Instead of sodas, choose water. Save your calories for eating!"
534,write-a-speech,Write a speech,"🎙️ If you have an important topic to discuss with someone, write a speech. A speech forces you to distill your main points. To formulate them clearly. And by making them clear for others, they become clearer for you…"
535,advice-paradox,Advice Paradox,"⚠️ Beware of more... more advice can lead to less clarity. Most advice is well intended, but it might not be right for you. It's dangerous to use someone else's map of reality to navigate your reality. Develop filters. Implement advice selectively. Take the signal, skip the noise."
536,shoshin,Shoshin,"🥰  Japanese concept from Zen Buddhism meaning ""beginner's mind."" When learning or working, develop an attitude of openness and eagerness. Let go of any preconceptions. This is how you keep learning, even at an advanced level."
537,persuasion-paradox,Persuasion Paradox,"🦄 Persuasive people don't argue. They observe, listen, and ask thoughtful questions. Argue less, persuade more."
538,easy-is-hard,Easy Is Hard,"😓 It’s hard to make things easy. But it’s always worth it. For example, the better the recipe the easier it is to follow. Do the hard work of making things easy. For yourself and for others."
539,right-now,“Right” Now,"💚 There is no ""right moment"" for a big decision. Do the work to make the leap of faith as comfortable as possible. And then open the door, jump out of the plane, and trust that you packed the parachute tight."
540,too-hard-pile,"""Too Hard"" Pile",😶
541,no-yes-no,No Yes No,📝 Asking yes or no questions can kill conversations before they even begin. Ask open-ended questions. They unlock the door to deeper connections. Here's a list to get you started.
542,leave-the-house,Leave the house,"✈️ If you want change to happen, leave the house. Nothing will happen until you step out of your house or leave your current comfort zone."
543,barber-bias,Barber Bias,"💈 Don’t ask the barber … Don’t ask the barber if you need a haircut. When seeking someone’s advice or opinion, ensure they have your best interests at heart. Of course, there are great barbers who will honestly tell you if you don’t need a haircut."
544,ordinary-love,Ordinary Love,"💕 Fall in love with the ordinary. An amazing life is built through tiny, ordinary, everyday things. Get comfortable with the ordinary, and you’ll build the life of your dreams. The quality of your life is determined by the quality of your average Tuesday afternoon."
